name,lat,lng
Equinox Union Street,37.7971221,-122.4330983
Bay Club San Francisco,37.8034776,-122.4027084
The Bay Club Co,37.804145,-122.40499
Crunch Fitness,37.7978537,-122.4277612
Crunch Fitness,37.7983713,-122.4221361
Live Fit Gym • Inner Richmond,37.78297,-122.4592597
Bakar Fitness & Recreation Center at UCSF Mission Bay,37.7681212,-122.3930817
LIFTLAB,37.7998756,-122.4278537
Presidio Community YMCA,37.7999085,-122.4547773
Presidio YMCA,37.7985218,-122.4594163
Live Fit Gym • Polk Street,37.792032,-122.4208775
Dogpatch YMCA at Crane Cove,37.7629995,-122.3873433
Dogpatch Boulders,37.7567012,-122.3877444
3rd Street Boxing Gym,37.7569538,-122.3884808
Flagship - Mission Bay,37.7777564,-122.3917685
Flagship - Marina,37.797374,-122.4320113
Jewish Community Center of San Francisco,37.7873371,-122.4472635
